Client #,Name,Pick Up Date,Dietary Considerations,Items Provided,Adults,Seniors,Children,Children's Ages,Email,Phone Number,
6429710,Ava Patel,2026-01-16 @ 9:30 AM,"Celiac/Gluten Free, Other (Specify), Allergies, 55+","1.00 x Double - $200, 1.00 x Vitality Double - $15",0,2,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 9:30 AM,,1.00 x Double - $200,2,0,0,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 9:30 AM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",2,0,2,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 9:30 AM,"Celiac/Gluten Free, Other (Specify), Allergies, 55+, Lactose Intolerant","1.00 x Double - $200, 1.00 x Vitality Single - $10",1,1,0,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 9:30 AM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",1,0,2,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 9:30 AM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",1,0,2,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 9:45 AM,Vegetarian,1.00 x Single - $175,1,0,0,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 9:45 AM,,1.00 x Single - $175,1,0,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 9:45 AM,55+,"1.00 x Trans.Hou. - $150, 1.00 x Vitality Single - $10",0,1,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 9:45 AM,Other (Specify),1.00 x Single - $175,1,0,0,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 9:45 AM,,"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,3,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 9:45 AM,"Other (Specify), Allergies","1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 10:00 AM,,1.00 x Multi - $300,4,0,0,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 10:00 AM,,1.00 x Single - $175,1,0,0,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 10:00 AM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 10:00 AM,"Other (Specify), Allergies, 55+","1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 10:00 AM,Other (Specify),"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",1,0,3,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 10:00 AM,"55+, Other (Specify)","1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 10:15 AM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 10:15 AM,"55+, Other (Specify), Allergies","1.00 x Double - $200, 1.00 x Vitality Single - $10",1,1,0,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 10:15 AM,,1.00 x Double - $200,2,0,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 10:15 AM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",2,0,2,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 10:15 AM,,1.00 x Double - $200,2,0,0,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 10:15 AM,,"5.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",1,0,5,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 10:30 AM,"Other (Specify), Halal","1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 10:30 AM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 10:30 AM,,"1.00 x Multi - $300, 1.00 x Vitality Single - $10",3,0,1,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 10:30 AM,"55+, Diabetes, Other (Specify)","1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,1,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 10:30 AM,,1.00 x Single - $175,1,0,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 10:30 AM,"Other (Specify), 55+","1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",1,1,1,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 10:45 AM,Other (Specify),"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 10:45 AM,Other (Specify),"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,3,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 10:45 AM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",2,0,2,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 10:45 AM,Other (Specify),"1.00 x Double - $200, 1.00 x Vitality Single - $10",1,0,1,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 10:45 AM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",1,1,2,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 10:45 AM,55+,"1.00 x Double - $200, 1.00 x Vitality Double - $15",0,2,0,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 11:00 AM,"Halal, Other (Specify)","4.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,4,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 11:00 AM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 11:00 AM,,1.00 x Double - $200,2,0,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 11:00 AM,"55+, Other (Specify)","1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 11:00 AM,"Other (Specify), Halal, Low Sugar",1.00 x Single - $175,1,0,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 11:00 AM,"Other (Specify), 55+","1.00 x Double - $200, 1.00 x Vitality Double - $15",0,2,0,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 11:15 AM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",1,0,2,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 11:15 AM,,"1.00 x Snack Pack - $30, 1.00 x Double - $200, 1.00 x Vitality Single - $10",1,0,1,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 11:15 AM,,"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,3,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 11:15 AM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",3,0,1,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 11:15 AM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",4,0,2,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 11:15 AM,Vegan,1.00 x Double - $200,2,0,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 12:00 PM,Other (Specify),"3.00 x Snack Pack - $30, 1.00 x Multi Plus - $450, 1.00 x Vitality Multi - $20",4,2,3,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 12:00 PM,"Other (Specify), Halal, TB - Baby Born","5.00 x Snack Pack - $30, 1.00 x Multi Plus - $450, 1.00 x Vitality Multi - $20",2,0,5,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 12:00 PM,55+,"1.00 x Double - $200, 1.00 x Vitality Single - $10",1,1,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 12:00 PM,Other (Specify),"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,3,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 12:00 PM,,1.00 x Double - $200,2,0,0,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 12:00 PM,Other (Specify),"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",2,0,2,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 12:15 PM,"Other (Specify), TB - Baby Born","1.00 x Snack Pack - $30, 1.00 x Baby Pack - $35, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",3,0,2,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 12:15 PM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",1,0,2,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 12:15 PM,"55+, Other (Specify)","1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 12:15 PM,"55+, Other (Specify)","1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 12:15 PM,55+,"1.00 x Double - $200, 1.00 x Vitality Double - $15",0,2,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 12:15 PM,"Other (Specify), IBD / IBS, Allergies",1.00 x Single - $175,1,0,0,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 12:30 PM,"Lactose Intolerant, Other (Specify), Allergies",1.00 x Single - $175,1,0,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 12:30 PM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",2,0,2,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 12:30 PM,"Diabetes, Other (Specify), Allergies","1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 12:30 PM,Other (Specify),"1.00 x Multi - $300, 1.00 x Vitality Double - $15",2,1,1,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 12:30 PM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 12:30 PM,"Other (Specify), Allergies","1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 12:45 PM,"55+, Other (Specify)","1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",1,1,1,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 12:45 PM,Other (Specify),"4.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,4,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 12:45 PM,,1.00 x Multi - $300,3,0,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 12:45 PM,Other (Specify),"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",1,0,3,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 12:45 PM,Other (Specify),"1.00 x Vitality Double - $15, 1.00 x Multi - $300",1,2,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 12:45 PM,,"1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 1:00 PM,Heart,1.00 x Single - $175,1,0,0,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 1:00 PM,"Other (Specify), Allergies","2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",1,0,2,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 1:00 PM,Other (Specify),"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,3,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 1:00 PM,"Other (Specify), Allergies","1.00 x Snack Pack - $30, 1.00 x Double - $200, 1.00 x Vitality Single - $10",1,0,1,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 1:00 PM,Lactose Intolerant,1.00 x Double - $200,2,0,0,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 1:00 PM,,"4.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,4,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 1:15 PM,,"1.00 x Double - $200, 1.00 x Vitality Single - $10",1,1,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 1:15 PM,Other (Specify),"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 1:15 PM,,1.00 x Single - $175,1,0,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 1:15 PM,,1.00 x Single - $175,1,0,0,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 1:15 PM,,1.00 x Single - $175,1,0,0,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 1:15 PM,55+,"1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 1:30 PM,,"1.00 x Snack Pack - $30, 1.00 x Double - $200, 1.00 x Vitality Single - $10",1,0,1,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 1:30 PM,55+,"1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 1:30 PM,"Halal, Other (Specify)","3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",3,0,3,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 1:30 PM,"Hepatitis C, Other (Specify)",1.00 x Single - $175,1,0,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 1:30 PM,"Diabetes, Other (Specify)",1.00 x Double - $200,2,0,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 1:30 PM,,1.00 x Single - $175,1,0,0,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 1:45 PM,Other (Specify),1.00 x Single - $175,1,0,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 1:45 PM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 1:45 PM,"Other (Specify), Vegetarian","1.00 x Double - $200, 1.00 x Vitality Single - $10",2,0,0,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 1:45 PM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",3,0,2,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 1:45 PM,Diabetes,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",3,0,1,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 1:45 PM,Halal,"4.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,4,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 2:00 PM,,1.00 x Single - $175,1,0,0,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 2:00 PM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",1,0,2,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 2:00 PM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 2:00 PM,,1.00 x Single - $175,1,0,0,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 2:00 PM,"Other (Specify), Allergies",1.00 x Single - $175,1,0,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 2:00 PM,"Other (Specify), 55+","1.00 x Double - $200, 1.00 x Vitality Single - $10",1,1,0,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 2:15 PM,Other (Specify),1.00 x Double - $200,2,0,0,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 2:15 PM,Halal,"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",2,0,3,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 2:15 PM,"Other (Specify), Vegetarian","2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",1,1,2,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 2:15 PM,,"3.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Multi - $20",1,0,3,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 2:15 PM,,"1.00 x Double - $200, 1.00 x Vitality Single - $10",1,1,0,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 2:15 PM,55+,"1.00 x Double - $200, 1.00 x Vitality Single - $10",1,1,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 2:30 PM,Other (Specify),1.00 x Single - $175,1,0,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 2:30 PM,"Other (Specify), Allergies","1.00 x Snack Pack - $30, 1.00 x Double - $200, 1.00 x Vitality Single - $10",1,0,1,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 2:30 PM,,1.00 x Single - $175,1,0,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 2:30 PM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 2:30 PM,"Other (Specify), TB - Baby Born","1.00 x Baby Pack - $35, 1.00 x Vitality Single - $10, 1.00 x Double - $200",2,0,1,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 2:30 PM,,1.00 x Single - $175,1,0,0,,ethan.garcia018@example.com,2502647835,
7349052,Olivia Nguyen,2026-01-16 @ 2:45 PM,,1.00 x Double - $200,2,0,0,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 2:45 PM,"Other (Specify), Allergies",1.00 x Double - $200,2,0,0,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 2:45 PM,,1.00 x Multi - $300,3,0,0,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 2:45 PM,"Other (Specify), 55+","1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 2:45 PM,55+,"1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 8:15 PM,,"2.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Double - $15",2,0,2,,liam.brooks841@example.com,2506271504,
,,,,,,,,,,2507013648,
